yearOfLoss,total_claims,real_total_paid_out_2020,pct_severe_above_ground_floods,pct_basement_floods,pct_primary_residence
1985,52305,885881238.977915989,0.0068,0.0302,0.0130
1986,18783,298256812.710250317,0.0145,0.0354,0.0112
1987,18724,240243299.051839743,0.0078,0.0806,0.0354
1988,11725,111681928.184687588,0.0041,0.0356,0.1042
1989,48624,1381906030.348160259,0.0198,0.0245,0.1361
1990,19266,332632507.886534286,0.0141,0.0374,0.1269
1991,36599,672378151.825874573,0.0257,0.0264,0.1590
1992,61551,1310303350.726367053,0.0115,0.0302,0.2164
1993,45979,1180995476.312878456,0.0281,0.0354,0.1808
1994,28632,717927032.552453072,0.0318,0.0271,0.2470
1995,79582,2202568429.537795631,0.0387,0.0179,0.3544
1996,68135,1366670295.715206289,0.0523,0.0730,0.3715
1997,38160,837742847.573956420,0.0640,0.0941,0.3819
1998,83619,1402022145.134486300,0.0251,0.0764,0.4257
1999,68171,1166920958.686690489,0.0161,0.0622,0.5895
2000,23247,377854919.133919814,0.0120,0.0651,0.6570
2001,54492,1855549949.829087656,0.0308,0.0382,0.7719
2002,34512,616418933.351140990,0.0299,0.0795,0.6748
2003,47846,1041920461.312459074,0.0621,0.0593,0.6736
2004,76034,3013999252.930464789,0.0981,0.0247,0.6126
2005,277027,23177442524.946062446,0.1263,0.0051,0.7467
2006,29651,811813724.849688606,0.1442,0.0333,0.6914
2007,28360,753916735.507881725,0.1883,0.0389,0.6994
2008,96968,4104798967.326145773,0.1778,0.0337,0.6809
2009,37734,929051443.451361396,0.0890,0.0515,0.7202
2010,37818,908843830.820550287,0.1075,0.0701,0.6933
2011,96466,2742957279.728523548,0.1689,0.0245,0.6609
2012,175804,10632443611.457090420,0.1763,0.0096,0.5993
2013,24062,541011486.804359769,0.1562,0.0171,0.6320
2014,18772,414910991.436321718,0.1416,0.0281,0.6361
2015,34581,1132957477.576233732,0.1492,0.0139,0.6482
2016,85497,4795525155.484867477,0.1548,0.0047,0.6971
2017,145681,11228821904.668288950,0.0170,0.0053,0.7214
2018,42624,1589681184.197483984,0.0068,0.0402,0.6461
2019,35312,1528327410.426928726,0.0288,0.0311,0.7018
2020,33184,932049978.600000000,0.0384,0.0655,0.6571
2021,46697,1866673736.549131184,0.0333,0.0823,0.7389
2022,60204,4641748140.036384426,0.0868,0.0272,0.6336
2023,21679,831468833.655666251,0.0817,0.0468,0.6890
2024,101953,7178609229.414041960,0.0826,0.0292,0.6538
2025,12999,475667395.017627951,0.0821,0.0545,0.6872
2026,221,,0.0226,0.0000,0.5339
